order_id,order_date,customer_id,city,product_id,category,quantity,selling_price,discount,payment_type,delivery_time
90001,2024-03-08,10052,Pune,5084,Fashion,2,155.91,0,COD,30
90002,2024-08-23,10354,Hyderabad,5061,Electronics,4,604.04,0,COD,40
90003,2024-03-15,10448,Chennai,5096,Electronics,2,733.54,0,Card,99
90004,2024-03-01,10395,Bangalore,5041,Electronics,1,178.91,0,Card,94
90005,2024-09-05,10403,Pune,5151,Fashion,2,535.06,5,COD,79
90006,2024-09-06,10362,Bangalore,5168,Electronics,2,502.03,20,Card,62
90007,2024-12-07,10760,Pune,5134,Food,1,137.97,0,COD,93
90008,2024-02-17,10038,Delhi,5106,Food,4,816.76,0,UPI,48
90009,2024-12-09,10148,Mumbai,5106,Grocery,4,642.39,5,COD,76
90010,2024-11-07,10614,Delhi,5182,Food,4,220.03,10,Wallet,53
90011,2024-06-04,10710,Delhi,5083,Electronics,1,653.2,10,COD,33
90012,2024-03-22,10675,Chennai,5094,Food,3,851.3,5,Wallet,42
90013,2024-08-28,10696,Pune,5152,Grocery,2,957.88,20,COD,48
90014,2024-12-06,10047,Hyderabad,5149,Fashion,1,964.37,0,UPI,20
90015,2024-10-16,10512,Delhi,5165,Food,4,473.79,5,UPI,20
90016,2024-02-15,10487,Hyderabad,5046,Food,1,1090.54,5,COD,77
90017,2024-04-14,10796,Chennai,5122,Food,2,745.24,5,COD,80
90018,2024-04-16,10662,Mumbai,5083,Food,3,621.11,5,Card,106
90019,2024-11-11,10272,Delhi,5043,Fashion,4,296.68,0,UPI,93
90020,2024-12-14,10554,Mumbai,5024,Food,2,463.47,0,UPI,54
90021,2024-07-02,10122,Mumbai,5127,Food,2,752.17,10,Wallet,56
90022,2024-02-17,10230,Delhi,5144,Grocery,4,286.69,10,Wallet,27
90023,2024-06-04,10742,Hyderabad,5192,Electronics,1,690.27,5,UPI,105
90024,2024-01-07,10430,Delhi,5001,Electronics,3,710.23,0,Card,69
90025,2024-11-11,10674,Chennai,5043,Electronics,3,250.04,5,UPI,112
90026,2024-12-22,10068,Bangalore,5173,Grocery,1,494.23,0,COD,99
90027,2024-01-24,10263,Delhi,5006,Electronics,2,172.93,0,Wallet,61
90028,2024-10-06,10277,Pune,5122,Fashion,1,802.38,15,Wallet,72
90029,2024-02-28,10743,Delhi,5186,Fashion,4,206.57,0,Card,68
90030,2024-09-17,10769,Delhi,5052,Food,4,407.54,20,COD,39
90031,2024-10-06,10250,Bangalore,5123,Electronics,2,585.7,5,Wallet,108
90032,2024-06-29,10652,Bangalore,5011,Food,2,698.08,0,UPI,94
90033,2024-02-19,10798,Delhi,5060,Food,4,262.83,0,Wallet,28
90034,2024-11-04,10522,Hyderabad,5087,Electronics,4,364.56,0,UPI,95
90035,2024-07-29,10559,Chennai,5098,Fashion,1,500.76,10,Wallet,43
90036,2024-06-16,10619,Chennai,5200,Grocery,3,429.95,15,Card,77
90037,2024-08-01,10750,Bangalore,5149,Fashion,3,948.14,10,COD,82
90038,2024-07-04,10416,Delhi,5152,Grocery,1,1004.5,10,Card,52
90039,2024-04-09,10107,Bangalore,5182,Food,3,189.0,0,UPI,29
90040,2024-04-09,10496,Hyderabad,5004,Grocery,1,846.6,5,COD,117
90041,2024-07-03,10647,Bangalore,5089,Fashion,1,466.33,5,COD,68
90042,2024-01-10,10411,Mumbai,5195,Electronics,1,159.63,0,Card,80
90043,2024-05-12,10252,Pune,5188,Food,2,113.96,15,UPI,62
90044,2024-04-29,10041,Chennai,5057,Food,3,718.52,0,Wallet,45
90045,2024-12-24,10776,Chennai,5052,Fashion,2,478.96,10,COD,65
90046,2024-12-28,10561,Hyderabad,5180,Grocery,2,600.91,5,Card,94
90047,2024-04-20,10474,Chennai,5020,Fashion,4,766.58,20,COD,55
90048,2024-02-06,10692,Chennai,5022,Fashion,1,160.27,0,Wallet,107
90049,2024-03-03,10037,Delhi,5028,Grocery,2,837.15,0,UPI,51
90050,2024-09-14,10580,Bangalore,5069,Fashion,1,117.65,0,Card,94
90051,2024-03-29,10685,Delhi,5088,Grocery,3,156.79,20,Wallet,57
90052,2024-01-23,10201,Delhi,5193,Electronics,1,204.72,10,UPI,44
90053,2024-07-13,10510,Chennai,5010,Grocery,1,514.66,5,Wallet,90
90054,2024-05-25,10496,Hyderabad,5018,Electronics,4,916.41,0,COD,30
90055,2024-06-19,10585,Hyderabad,5010,Electronics,2,633.53,0,Wallet,70
90056,2024-01-29,10663,Pune,5191,Food,3,393.68,0,Card,26
90057,2024-07-30,10196,Hyderabad,5199,Fashion,3,426.47,10,UPI,86
90058,2024-06-15,10539,Pune,5159,Grocery,1,831.02,0,UPI,54
90059,2024-07-31,10576,Chennai,5048,Electronics,1,134.31,5,COD,69
90060,2024-05-04,10570,Bangalore,5047,Fashion,2,548.4,0,Card,73
90061,2024-07-13,10596,Chennai,5164,Food,2,630.48,5,COD,103
90062,2024-04-02,10395,Bangalore,5156,Food,3,926.88,15,Wallet,82
90063,2024-12-30,10746,Chennai,5145,Fashion,3,223.69,10,COD,65
90064,2024-05-15,10413,Bangalore,5070,Food,2,638.17,0,Wallet,100
90065,2024-12-14,10501,Mumbai,5075,Fashion,3,97.29,10,Card,23
90066,2024-01-23,10189,Bangalore,5009,Electronics,4,689.94,10,UPI,30
90067,2024-09-27,10173,Pune,5134,Electronics,4,178.02,0,UPI,50
90068,2024-08-15,10348,Hyderabad,5107,Grocery,2,560.23,20,Card,78
90069,2024-03-26,10276,Mumbai,5159,Fashion,4,964.24,0,Wallet,38
90070,2024-04-22,10282,Delhi,5142,Electronics,1,959.69,0,COD,111
90071,2024-03-13,10680,Chennai,5022,Electronics,3,147.11,0,Wallet,60
90072,2024-05-09,10165,Hyderabad,5026,Grocery,2,720.85,0,Card,20
90073,2024-08-29,10416,Delhi,5007,Fashion,3,562.56,10,Wallet,68
90074,2024-03-09,10356,Pune,5054,Grocery,4,254.49,0,COD,106
90075,2024-05-13,10599,Pune,5084,Electronics,3,164.33,0,COD,66
90076,2024-03-16,10782,Hyderabad,5040,Fashion,4,508.67,10,Wallet,27
90077,2024-03-14,10285,Chennai,5132,Food,2,207.0,20,Card,50
90078,2024-09-30,10179,Delhi,5010,Food,1,566.76,15,UPI,53
90079,2024-04-10,10605,Bangalore,5199,Electronics,1,376.88,0,Card,59
90080,2024-05-26,10639,Mumbai,5012,Food,2,433.92,15,COD,49
90081,2024-10-08,10257,Mumbai,5077,Grocery,3,300.56,0,COD,65
90082,2024-03-15,10456,Chennai,5174,Electronics,3,757.62,20,Wallet,30
90083,2024-05-09,10341,Hyderabad,5078,Fashion,2,199.53,20,UPI,80
90084,2024-03-21,10169,Chennai,5159,Fashion,2,787.1,5,COD,48
90085,2024-04-13,10434,Pune,5127,Fashion,1,1061.79,0,UPI,57
90086,2024-06-11,10508,Mumbai,5119,Electronics,1,982.14,15,COD,80
90087,2024-01-16,10389,Mumbai,5191,Electronics,2,495.95,5,Wallet,44
90088,2024-11-30,10593,Chennai,5157,Electronics,3,528.91,5,COD,48
90089,2024-09-20,10020,Bangalore,5167,Electronics,3,779.79,15,COD,38
90090,2024-02-05,10359,Mumbai,5070,Grocery,1,547.84,10,UPI,119
90091,2024-01-17,10248,Hyderabad,5139,Grocery,4,376.04,0,COD,70
90092,2024-08-11,10586,Delhi,5023,Grocery,3,745.19,0,Wallet,96
90093,2024-05-29,10206,Mumbai,5135,Electronics,3,628.78,0,UPI,34
90094,2024-09-10,10201,Delhi,5014,Food,2,367.2,5,COD,116
90095,2024-10-14,10107,Bangalore,5021,Fashion,2,179.2,0,COD,41
90096,2024-11-08,10695,Pune,5169,Electronics,3,170.7,0,UPI,73
90097,2024-02-10,10682,Pune,5065,Fashion,2,939.06,5,Wallet,79
90098,2024-09-07,10739,Pune,5004,Electronics,2,948.78,0,COD,22
90099,2024-03-07,10785,Bangalore,5090,Grocery,2,325.36,15,UPI,69
90100,2024-05-20,10489,Pune,5052,Food,1,342.46,5,Card,34
90101,2024-01-20,10292,Pune,5137,Food,4,326.67,15,COD,45
90102,2024-08-16,10034,Chennai,5171,Electronics,3,121.08,0,UPI,104
90103,2024-12-12,10230,Delhi,5015,Food,3,171.67,15,Wallet,55
90104,2024-03-20,10247,Bangalore,5114,Grocery,1,1008.91,0,Card,116
90105,2024-05-15,10025,Mumbai,5072,Fashion,3,299.36,10,Wallet,94
90106,2024-10-30,10198,Pune,5157,Fashion,1,501.66,10,Card,99
90107,2024-12-25,10139,Delhi,5158,Food,4,879.59,15,Wallet,85
90108,2024-09-21,10122,Mumbai,5067,Grocery,2,142.6,0,Card,33
90109,2024-10-26,10461,Mumbai,5117,Food,2,827.75,10,Wallet,83
90110,2024-04-06,10743,Delhi,5046,Grocery,4,933.56,5,COD,37
90111,2024-07-21,10271,Pune,5092,Fashion,4,667.77,5,UPI,40
90112,2024-11-22,10100,Pune,5020,Fashion,3,578.53,5,UPI,37
90113,2024-03-16,10680,Chennai,5151,Fashion,4,475.27,0,COD,23
90114,2024-12-18,10191,Delhi,5045,Fashion,3,165.62,10,Card,47
90115,2024-10-06,10446,Hyderabad,5073,Grocery,1,325.77,15,Card,43
90116,2024-08-21,10377,Pune,5071,Fashion,1,139.89,5,UPI,82
90117,2024-12-24,10354,Hyderabad,5002,Grocery,2,408.95,5,UPI,65
90118,2024-12-24,10572,Hyderabad,5187,Electronics,1,895.13,0,UPI,59
90119,2024-08-16,10612,Mumbai,5141,Fashion,1,256.73,20,UPI,53
90120,2024-04-28,10718,Mumbai,5080,Grocery,2,575.57,0,Card,112
90121,2024-05-03,10669,Bangalore,5048,Electronics,2,142.46,0,Wallet,58
90122,2024-03-16,10689,Chennai,5055,Food,2,526.61,5,COD,69
90123,2024-01-24,10729,Chennai,5131,Food,1,455.06,5,Card,114
90124,2024-12-05,10550,Hyderabad,5077,Electronics,4,290.62,20,Card,115
90125,2024-09-03,10299,Hyderabad,5191,Grocery,2,425.4,10,Wallet,34
90126,2024-07-24,10571,Pune,5177,Grocery,4,793.58,10,COD,113
90127,2024-10-04,10719,Mumbai,5136,Food,3,258.1,10,Wallet,109
90128,2024-04-12,10716,Pune,5060,Electronics,1,232.18,0,Wallet,62
90129,2024-08-05,10200,Chennai,5176,Electronics,2,686.07,15,Wallet,41
