product_id,product_name,cost_price,brand,rating,supplier
5001,Product_0,544,BrandA,4.1,Local
5002,Product_1,279,BrandC,4.3,Local
5003,Product_2,69,BrandA,2.5,Local
5004,Product_3,602,BrandD,3.0,Imported
5005,Product_4,197,BrandB,4.2,Local
5006,Product_5,157,BrandD,3.7,Local
5007,Product_6,452,BrandC,2.5,Imported
5008,Product_7,645,BrandD,4.5,Imported
5009,Product_8,532,BrandC,4.4,Imported
5010,Product_9,416,BrandA,3.9,Local
5011,Product_10,463,BrandA,2.7,Local
5012,Product_11,358,BrandC,4.4,Imported
5013,Product_12,183,BrandD,4.0,Local
5014,Product_13,332,BrandA,4.5,Imported
5015,Product_14,122,BrandB,4.4,Imported
5016,Product_15,530,BrandA,4.5,Local
5017,Product_16,401,BrandB,3.8,Imported
5018,Product_17,609,BrandD,2.9,Imported
5019,Product_18,375,BrandB,4.2,Imported
5020,Product_19,492,BrandB,4.1,Local
5021,Product_20,149,BrandB,4.4,Imported
5022,Product_21,108,BrandB,2.9,Imported
5023,Product_22,557,BrandA,3.0,Imported
5024,Product_23,307,BrandB,4.7,Imported
5025,Product_24,462,BrandA,4.4,Imported
5026,Product_25,501,BrandB,4.8,Imported
5027,Product_26,114,BrandC,4.4,Imported
5028,Product_27,644,BrandD,4.0,Local
5029,Product_28,203,BrandB,4.1,Local
5030,Product_29,315,BrandC,4.7,Imported
5031,Product_30,128,BrandB,3.9,Local
5032,Product_31,364,BrandB,4.1,Local
5033,Product_32,609,BrandB,2.9,Imported
5034,Product_33,297,BrandC,3.7,Local
5035,Product_34,659,BrandD,4.3,Imported
5036,Product_35,463,BrandC,3.2,Imported
5037,Product_36,74,BrandD,3.0,Imported
5038,Product_37,333,BrandB,3.3,Imported
5039,Product_38,498,BrandA,3.1,Imported
5040,Product_39,350,BrandB,3.0,Local
5041,Product_40,117,BrandD,3.6,Imported
5042,Product_41,56,BrandC,4.8,Local
5043,Product_42,186,BrandB,3.8,Imported
5044,Product_43,213,BrandC,3.0,Imported
5045,Product_44,132,BrandC,2.7,Imported
5046,Product_45,699,BrandC,4.2,Local
5047,Product_46,469,BrandB,3.5,Imported
5048,Product_47,122,BrandC,4.6,Imported
5049,Product_48,286,BrandC,4.1,Imported
5050,Product_49,95,BrandB,4.5,Imported
5051,Product_50,667,BrandC,3.2,Local
5052,Product_51,311,BrandB,4.2,Imported
